source,target,type,subtype,direction,source_text,source_pages,year,assoc_code
28460,28410,唱和,哀辭由Y所作,P,,,1357,166
28460,28410,唱和,挽詩、詞由Y所作,P,元人傳記資料索引,6190,,423
28460,10389,唱和,為Y作畫贊(畫像記),A,元人傳記資料索引,6133,,428
28460,27965,唱和,收到Y的贈詩、文,P,元人傳記資料索引,6190,,438
28460,28426,唱和,收到Y的贈詩、文,P,元人傳記資料索引,6190,,438
28460,10726,唱和,建築物得到Y的題詠、記、命名,P,元人傳記資料索引,6190,,444
28460,10726,同僚,政績為Y所稱道,P,元人傳記資料索引,6190,,539
28543,19123,唱和,為Y所著書作序,A,宋人傳記資料索引(電子版),216,0,32
28543,27998,唱和,為Y所著書作序,A,元人傳記資料索引,2650,,32
28543,28614,唱和,墓誌銘由Y所作,P,元人傳記資料索引,8047,,43
28543,10792,唱和,為Y作臨別贈言(送別詩、序),A,元人傳記資料索引,13949,,162
28543,28426,唱和,為Y作臨別贈言(送別詩、序),A,元人傳記資料索引,5049,1346,162
28543,28614,唱和,為Y作臨別贈言(送別詩、序),A,元人傳記資料索引,8363,,162
28543,10792,唱和,為Y作齋、堂銘,A,元人傳記資料索引,13949,,298
28543,35141,唱和,向Y致賀,A,元人傳記資料索引,4731,,390
28543,27853,唱和,為Y作畫贊(畫像記),A,元人傳記資料索引,9374,,428
28543,35141,唱和,為Y作畫贊(畫像記),A,元人傳記資料索引,4731,,428
28543,10815,唱和,收到Y的贈詩、文,P,元人傳記資料索引,8047,,438
28543,10792,唱和,為Y之詩文作跋,A,元人傳記資料索引,13949,,469
28603,28617,同僚,被Y推薦,P,元人傳記資料索引,5176,,14
28603,28617,唱和,書序由Y所作,P,,,1286,33
28603,28617,唱和,書序由Y所作,P,元人傳記資料索引,5176,,33
28603,28617,唱和,相唱和,M,元人傳記資料索引,5176,,114
28603,28617,唱和,傳記作者為Y,P,元人傳記資料索引,5176,,132
28603,17690,唱和,為Y之書、畫作跋,A,元人傳記資料索引,11347,,149
28603,28617,唱和,為Y之書、畫作跋,A,元人傳記資料索引,648,,149
28603,28617,唱和,從Y處收到賀詞 (occasion),P,元人傳記資料索引,5176,,391
28603,27853,唱和,挽詩、詞由Y所作,P,元人傳記資料索引,5176,,423
28603,28617,唱和,挽詩、詞由Y所作,P,元人傳記資料索引,5176,,423
28603,28617,唱和,贈詩、文,A,元人傳記資料索引,648,,437
28603,28617,唱和,收到Y的贈詩、文,P,元人傳記資料索引,5176,,438
28603,28617,唱和,祠記由Y所作,P,元人傳記資料索引,5176,,561
28614,10097,唱和,為Y所著書作序,A,元人傳記資料索引,2654,,32
28614,10792,唱和,為Y所著書作序,A,元人傳記資料索引,13949,,32
28614,27957,唱和,書序由Y所作,P,,,1342,33
28614,27957,唱和,書序由Y所作,P,元人傳記資料索引,8363,,33
28614,28543,唱和,為Y作墓誌銘,A,元人傳記資料索引,8047,,44
28614,27957,唱和,祭文由Y所作,P,元人傳記資料索引,8363,,146
28614,10792,唱和,為Y作臨別贈言(送別詩、序),A,元人傳記資料索引,13949,,162
28614,27998,唱和,臨別得到Y所作贈言(送別詩、序),P,元人傳記資料索引,8363,,163
28614,28543,唱和,臨別得到Y所作贈言(送別詩、序),P,元人傳記資料索引,8363,,163
28614,10801,唱和,向Y致賀,A,元人傳記資料索引,10550,,390
28614,10792,唱和,為Y作畫贊(畫像記),A,元人傳記資料索引,13949,,428
28614,10801,唱和,收到Y的贈詩、文,P,元人傳記資料索引,8363,,438
28614,10792,唱和,為Y之建築物題詠、記、命名,A,元人傳記資料索引,13949,,443
28614,10792,唱和,為Y之詩文作跋,A,元人傳記資料索引,13949,,469
28614,10801,唱和,為Y之詩文作跋,A,元人傳記資料索引,10550,,469
28614,10792,唱和,詩文序由Y所作,P,元人傳記資料索引,13949,,480
28614,27954,唱和,為Y之生祠作記,A,元人傳記資料索引,9063,,497
28617,28603,同僚,推薦,A,元人傳記資料索引,5176,,13
